PredictedSentiment,TweetText,CleanedTweet
neutral,"My last day of #Microsoft #SharePoint training: 10175A/Microsoft SharePoint 2010, Application Development - http://t.co/pKMBGsNr",last microsoft sharepoint training amicrosoft sharepoint application development http copkmbgsnr
neutral,"Following dear #Microsoft CEO's logic, 550,000 #Android devices activated each day NEED to belong to computer scientists. I am enlightened!!",following dear microsoft logic android device activated need belong computer scientist enlightened
neutral,#EEDAR report: half of HD console owners buying #DLC http://t.co/5tO4bS31 #business #microsoft #pc #playstation,eedar report half console owner buying http business microsoft playstation
neutral,Congrats to #Microsoft's Monica Diaz for being part of @HispanicBizMag 100 Most Influential Hispanics! http://t.co/qj9QDBhA,congrats microsoft monica diaz part hispanicbizmag influential hispanic http coqj qdbha
neutral,Windows Phone Mango Update Released to 'Nearly Everyone' http://t.co/SX1NQJJ1 #microsoft #Technology,window phone mango update released nearly everyone http cosx nqjj microsoft technology
neutral,"RT @WinBetaDotOrg: Microsoft releases developer preview of ""Project Roslyn"" compiler http://t.co/lpb9n510 #Microsoft #beta",winbetadotorg microsoft release developer preview project roslyn compiler http colpb microsoft beta
neutral,#Microsoft We support you. Retweet if u support us or want to.,microsoft support retweet support want
neutral,@MSPartners can join: Small Business Specialist Community (SBCS) http://t.co/IlQPKEz0! #Microsoft #MPN,mspartners join small business specialist community sbcs http coilqpkez microsoft
neutral,RT @SAPWorkSmarter: Tomorrow at #SAPTechEd Bangalore: #SAP & #Microsoft Building Apps for Both Worlds w #DuetEnterprise & #SAPGateway. h ...,sapworksmarter tomorrow sapteched bangalore microsoft building apps world duetenterprise sapgateway
neutral,"#Microsoft CEO Steve #Ballmer on Not Buying #Yahoo: “Sometimes, You’re Lucky” http://t.co/7TEtDPP9",microsoft steve ballmer buying yahoo sometimes lucky http tetdpp
neutral,"RT @KumarSachi: Another Gem from #Microsoft - Curate your personal history with  ""Project Greenwich"".  Available later this month. http: ...",kumarsachi another microsoft curate personal history project greenwich available later month http
neutral,"RT @NeowinFeed: Microsoft opens the spigot, Windows Phone Mango available to all #microsoft #windowsphone http://t.co/nwMbseVm #neowin",neowinfeed microsoft open spigot window phone mango available microsoft windowsphone http conwmbsevm neowin
neutral,#microsoft @diggita Microsoft - Macro in Word 2007 (gerardopaolillo) http://t.co/O3M07opC,microsoft diggita microsoft macro word gerardopaolillo http
neutral,"#Microsoft CEO Steve Ballmer on Not Buying Yahoo: “Sometimes, You’re Lucky” &lt;http://t.co/rcml9XQR&gt;",microsoft steve ballmer buying yahoo sometimes lucky http corcml
neutral,#Microsoft: #Mango Now Available to Nearly Everyone - http://t.co/vQkJ84AC #windowsphone #wp7,microsoft mango available nearly everyone http covqkj windowsphone
neutral,"If #Microsoft earnings disappoint, blame consumer PC sales -  http://t.co/edXe0xBd via @cnet",microsoft earnings disappoint blame consumer sale http coedxe cnet
neutral,Microsoft bitchslaps VMware in new paper - #Microsoft calls out #VMware for bogus benchmark numbers - http://t.co/dBsMa1Pb,microsoft bitchslaps vmware paper microsoft call vmware bogus benchmark number http codbsma
positive,Bill Gates to testify in Novel v. #Microsoft antitrust laws#UI t http://t.co/H0GscVZR,bill gate testify novel microsoft antitrust law http gscvzr
neutral,"Okay #Twitter, it'd be muchhh appreciated if you could start working on my computer soon.",okay twitter much appreciated could start working computer soon
neutral,"#Twitter.... Side Affects include: Procrastination, No Sleep, Unable to Focus on ANYTHING, Subtweeting, RT, TT, and Low Batteries",twitter side affect include procrastination sleep unable focus anything subtweeting battery
neutral,RT @nagoul1: #Retweets section of my #twitter account has not been working for 17 hours! Is Everyone else having this problem? #RT #RTs,nagoul retweets section twitter account working hour everyone else problem
neutral,#Retweets section of my #twitter account has not been working for 17 hours! Is Everyone else having this problem? #RT #RTs,retweets section twitter account working hour everyone else problem
neutral,for some reason #twitter isnt allowing me to see my tweets that got retweeted.,reason twitter isnt allowing tweet retweeted
neutral,Good lord #twitter send my bloody tweets! #ihateyourightnow,good lord twitter send bloody tweet ihateyourightnow
neutral,I feel all alone on #twitter. #itstolate,feel alone twitter itstolate
positive,So im about to make another #twitter account since this one fucked up,make another twitter account since fucked
positive,"My DM's Come in So Fucking Late, Damn #Twitter",come fucking late damn twitter
neutral,"Yep it's official, my tweets that get RT'd aren't showing me when they get RT'd. Dammit #Twitter, sometimes it's #Love/Hate thing we have!!",official tweet showing dammit twitter sometimes lovehate thing
neutral,@MsTapoutBarbie Yep figured my shit is jacked. Dammit #Twitter!!,mstapoutbarbie figured shit jacked dammit twitter
positive,dear @twitter / #twitter FIX YOUR SHIT. we cant see our retweets or mentions!,dear twitter twitter shit cant retweets mention
neutral,#Twitter got DEAD as fuck all of a sudden!!!,twitter dead fuck sudden
neutral,I HATE #TWITTER,hate twitter
neutral,My #Twitter acting funnyyyyyyy....,twitter acting funny
positive,still not quite sure how to use this/what the point of it is... #twitter? #idontunderstand,still quite sure thiswhat point twitter idontunderstand
positive,#twitter why must you be so difficult?,twitter must difficult
neutral,Thank you #twitter for not giving me the 10 tweets that have been tweeted at me in the past 3 days! Lol #blameitontheiphone #ineedtoupdate,thank twitter giving tweet tweeted past day blameitontheiphone ineedtoupdate
neutral,#Twitter is messed up followers keep switching to same numbers -___- #FIXIT!,twitter messed follower keep switching number fixit
neutral,I need to get off #twitter,need twitter
positive,RT @Prettynesz: #twitter still not showin my mothafuckin #retweets . .,prettynesz twitter still showin mothafuckin retweets
positive,#Twitter timeline and mentions up the shit :(,twitter timeline mention shit
neutral,So much garbage. #Twitter,much garbage twitter
neutral,Who the hell uses #twitter on a tv man. #panasonic #epicfail.,hell us twitter panasonic epicfail
positive,#twitter still not showin my mothafuckin #retweets . .,twitter still showin mothafuckin retweets
neutral,#stupid fucking #Twitter #Twitterapp give me my Damn #mentions NOOWWWWWW!!!!! UGH! #DRAWLIN AS ALWAYS #TMW #PROMOALLDAY #FOLLOWLIMITISGAY TO,stupid fucking twitter twitterapp give damn mention drawlin always promoallday followlimitisgay
neutral,RT @JolieeSharmeda #twitter be fucking up,jolieesharmeda twitter fucking
neutral,"@KushKitty420 you, #Facebook #twitter and the #tv are all #distractions whenever I wanna study ;(",kushkitty facebook twitter distraction whenever wan na study
neutral,"RT @VanillaLatte_xD: #omfg .. #Twitter , Why fxck up ? I wanna see my Retweets ""/",vanillalatte omfg twitter fxck wan na retweets
neutral,"RT @nicolebanyots: #twitter UH, SHOW ME MY RETWEETS, OR ILL GO BACK TO FACEBOOK. K? K.",nicolebanyots twitter show retweets back facebook
neutral,".@chrispirillo Re. #twitter 1,402,239 positive opinions http://t.co/uUd7ea3v? vs. 688,546 negative http://t.co/Q7Kf5xKz?",chrispirillo twitter positive opinion http couud negative http
neutral,"""@ClearlyCassi_: I'll never forget the day we met, or how we kissed the first time."" /// I met you on #twitter and I haven't kiss you yet :p",clearlycassi never forget kissed first time twitter kiss
neutral,RT @Sour_D_Reyyy: @obsexxed69 got one of the dopest blogs on #Twitter and #Tumblr...#RealTalk,sour obsexxed dopest blog twitter tumblr realtalk
positive,RT @Str8Talk123: Need to step my #twitter game! Where is #teamfollowback #miami #ff  @JAYSCANDRETH  @WhatupHOE1211,talk need step twitter game teamfollowback miami jayscandreth whatuphoe
neutral,"Caramba, a mais de 4 dias ninguem fala em mim ou de mim aki no #twitter. Nem mesmo minha noiva. #Fuieskecido...",caramba mais dia ninguem fala twitter mesmo minha noiva fuieskecido
positive,@codytigernord Just a reminder that you fail on #twitter,codytigernord reminder fail twitter
positive,RT @ThisIsYunGFRESH: JOIN OUR #TT ON #TWITTER FOLLOW @ThisIsYungFRESH & @macDej #TT #RatchetSymptoms,thisisyungfresh join twitter follow thisisyungfresh macdej ratchetsymptoms
neutral,"Sneaky, sneaky. Seven ways to spy on your competition, using #Twitter - http://t.co/RxopvNGQ - via @ruhanirabin @AskAaronLee",sneaky sneaky seven way competition using twitter http corxopvngq ruhanirabin askaaronlee
positive,"People on #Twitter n #Facebook all day, wat are you really doin wit yo life....#ImJusAskin",people twitter facebook really doin life imjusaskin
neutral,My cuz @Robbase101 is new to #twitter drop him a follow and show him some love. Esp if you like #Canes #Jets #Yankees & #Knicks #sports,robbase twitter drop follow show love like cane jet yankee knicks sport
neutral,#ThingsWeAllHate  false advertisement via #twitter lol,thingsweallhate false advertisement twitter
neutral,RT......zZzZzZzZzZzZzZzZzZzZ...... #Twitter off,twitter
positive,Ha! Even #twitter is telling me we're meant to be!,even twitter telling meant
neutral,Sleep time. #twitter off,sleep time twitter
positive,#Twitter should have Emoticons,twitter emoticon
positive,JOIN OUR #TT ON #TWITTER FOLLOW @ThisIsYungFRESH & @macDej #TT #RatchetSymptoms,join twitter follow thisisyungfresh macdej ratchetsymptoms
